,MEA_DDHR,PLANT,LOC,X24H_TMA,X24H_COND_LOC,X24H_COND_LOC_PROB,X48H_TMA,X48H_COND_LOC,X48H_COND_LOC_PROB
0,2019-04-01 0:00,2,3,2019-04-02 0:00,1.0,92.21801896935472,2019-04-03 0:00,0.0,99.95801983054162
1,2019-04-01 4:30,1,2,2019-04-02 4:30,1.0,98.48435223617652,2019-04-03 4:30,0.0,99.99998999999902
2,2019-04-01 10:30,2,3,2019-04-02 10:30,1.0,99.99999999727582,2019-04-03 10:30,0.0,99.91084834533098
3,2019-04-01 11:00,1,1,2019-04-02 11:00,0.0,99.9998340163476,2019-04-03 11:00,0.0,86.16173453033048
4,2019-04-01 13:30,2,1,2019-04-02 13:30,0.0,99.64192643642568,2019-04-03 13:30,0.0,67.6387103433968
5,2019-04-01 17:00,2,2,2019-04-02 17:00,1.0,98.67101528077127,2019-04-03 17:00,0.0,73.36532203735597
6,2019-04-01 18:30,2,3,2019-04-02 18:30,0.0,99.99998999999902,2019-04-03 18:30,0.0,99.52052715818435
7,2019-04-01 20:30,2,1,2019-04-02 20:30,0.0,99.99985248547576,2019-04-03 20:30,0.0,95.22647683258602
8,2019-04-02 6:00,1,2,2019-04-03 6:00,1.0,99.9982714014271,2019-04-04 6:00,0.0,99.99998999999902
9,2019-04-02 7:00,1,1,2019-04-03 7:00,1.0,99.9999564206149,2019-04-04 7:00,0.0,99.99895108370389
10,2019-04-02 9:30,1,1,2019-04-03 9:30,0.0,98.55402976976018,2019-04-04 9:30,0.0,99.97497419955829
11,2019-04-02 12:30,1,2,2019-04-03 12:30,1.0,58.30443962028541,2019-04-04 12:30,0.0,99.99998999999902
12,2019-04-02 15:00,1,1,2019-04-03 15:00,0.0,99.99998999999902,2019-04-04 15:00,1.0,99.56242296399333
13,2019-04-02 16:00,2,2,2019-04-03 16:00,1.0,99.99999999997871,2019-04-04 16:00,1.0,60.78079587265537
14,2019-04-02 16:30,1,1,2019-04-03 16:30,0.0,99.99998999999902,2019-04-04 16:30,1.0,99.63414283193477
15,2019-04-02 17:00,2,2,2019-04-03 17:00,1.0,99.99999999986058,2019-04-04 17:00,1.0,72.53875425972402
16,2019-04-02 19:30,1,1,2019-04-03 19:30,0.0,99.99900305348825,2019-04-04 19:30,0.0,81.96081658043109
17,2019-04-03 0:30,1,2,2019-04-04 0:30,1.0,99.99998467558294,2019-04-05 0:30,0.0,99.99998999999902
18,2019-04-03 1:00,1,1,2019-04-04 1:00,0.0,69.35847009234378,2019-04-05 1:00,0.0,99.54951633822294
19,2019-04-03 3:00,2,3,2019-04-04 3:00,0.0,99.99998999999902,2019-04-05 3:00,0.0,99.88987345343594
20,2019-04-03 4:30,1,1,2019-04-04 4:30,1.0,95.24367773166446,2019-04-05 4:30,0.0,99.94404364526707
21,2019-04-03 7:00,2,1,2019-04-04 7:00,0.0,99.99305121772085,2019-04-05 7:00,0.0,99.74797623044637
22,2019-04-03 8:30,2,1,2019-04-04 8:30,1.0,99.52882382751253,2019-04-05 8:30,0.0,99.95805221546391
23,2019-04-03 9:00,1,1,2019-04-04 9:00,0.0,96.94435474423715,2019-04-05 9:00,0.0,99.98810982019165
24,2019-04-03 10:00,2,1,2019-04-04 10:00,1.0,99.99998939869884,2019-04-05 10:00,0.0,99.69516686352452
25,2019-04-03 11:00,2,2,2019-04-04 11:00,0.0,89.50974491678289,2019-04-05 11:00,0.0,99.99950721476287
26,2019-04-03 11:30,1,2,2019-04-04 11:30,0.0,83.36442460493042,2019-04-05 11:30,0.0,99.99998999999902
27,2019-04-03 12:30,1,3,2019-04-04 12:30,0.0,99.99998999999902,2019-04-05 12:30,1.0,99.99999999999699
28,2019-04-03 17:00,2,2,2019-04-04 17:00,1.0,99.99999998176725,2019-04-05 17:00,1.0,52.19114325116219
29,2019-04-03 19:00,2,2,2019-04-04 19:00,1.0,83.13929760590617,2019-04-05 19:00,0.0,80.92283700483924
30,2019-04-03 19:30,2,1,2019-04-04 19:30,0.0,99.99967074215004,2019-04-05 19:30,0.0,72.59358028302472
31,2019-04-04 0:30,1,2,2019-04-05 0:30,1.0,99.54983218650756,2019-04-06 0:30,0.0,99.99998999999902
32,2019-04-04 4:30,2,1,2019-04-05 4:30,0.0,99.99991940882227,2019-04-06 4:30,0.0,99.71324641543454
33,2019-04-04 5:00,2,2,2019-04-05 5:00,0.0,99.99998999999902,2019-04-06 5:00,0.0,99.9996019647164
34,2019-04-04 6:00,1,1,2019-04-05 6:00,1.0,99.99999999977265,2019-04-06 6:00,0.0,99.99879844032782
35,2019-04-04 14:30,2,3,2019-04-05 14:30,0.0,99.99998999999902,2019-04-06 14:30,0.0,99.50502164540089
36,2019-04-04 18:00,2,3,2019-04-05 18:00,0.0,99.99998999999902,2019-04-06 18:00,0.0,99.45030736685263
37,2019-04-04 22:00,1,1,2019-04-05 22:00,0.0,75.75972327964988,2019-04-06 22:00,1.0,53.07435469549646
38,2019-04-04 23:00,1,1,2019-04-05 23:00,1.0,61.85942242679031,2019-04-06 23:00,0.0,86.46811129092204
39,2019-04-05 0:00,2,1,2019-04-06 0:00,0.0,99.97161144192088,2019-04-07 0:00,0.0,99.9134724033764
40,2019-04-05 0:30,1,1,2019-04-06 0:30,0.0,98.86461351872266,2019-04-07 0:30,0.0,90.73608380118573
41,2019-04-05 1:30,2,2,2019-04-06 1:30,0.0,99.99998999999902,2019-04-07 1:30,0.0,99.9971886963543
42,2019-04-05 2:00,1,2,2019-04-06 2:00,1.0,99.13763666593958,2019-04-07 2:00,0.0,99.99998999999902
43,2019-04-05 2:30,1,3,2019-04-06 2:30,0.0,99.99998999999902,2019-04-07 2:30,1.0,99.99999999999699
44,2019-04-05 4:30,2,1,2019-04-06 4:30,0.0,99.97820653558223,2019-04-07 4:30,0.0,99.73186406297508
45,2019-04-05 6:30,2,2,2019-04-06 6:30,0.0,99.99998999999902,2019-04-07 6:30,0.0,99.9998847551249
46,2019-04-05 8:00,1,3,2019-04-06 8:00,0.0,99.99998999999902,2019-04-07 8:00,1.0,99.99999999999699
47,2019-04-05 13:00,2,3,2019-04-06 13:00,0.0,99.99998999999902,2019-04-07 13:00,0.0,99.40544065977875
48,2019-04-05 15:30,1,3,2019-04-06 15:30,0.0,99.8381910277744,2019-04-07 15:30,1.0,99.99999999999699
49,2019-04-05 18:00,1,1,2019-04-06 18:00,0.0,99.99998999999902,2019-04-07 18:00,1.0,99.53308721245745
50,2019-04-05 18:00,2,3,2019-04-06 18:00,0.0,99.99998999999902,2019-04-07 18:00,0.0,99.17813645016517
51,2019-04-05 21:30,1,2,2019-04-06 21:30,1.0,99.66787002623573,2019-04-07 21:30,0.0,99.99998999999902
52,2019-04-06 0:30,1,1,2019-04-07 0:30,0.0,99.99728656294965,2019-04-08 0:30,0.0,92.81185509987824
53,2019-04-06 2:00,2,3,2019-04-07 2:00,0.0,99.95821258538776,2019-04-08 2:00,0.0,99.94222377856869
54,2019-04-06 2:00,1,2,2019-04-07 2:00,1.0,99.99986056339884,2019-04-08 2:00,0.0,99.99998999999902
55,2019-04-06 6:30,1,3,2019-04-07 6:30,0.0,99.99998999999902,2019-04-08 6:30,1.0,99.999999933349
56,2019-04-06 12:00,2,3,2019-04-07 12:00,1.0,99.99984925043488,2019-04-08 12:00,0.0,99.87637531622512
57,2019-04-06 17:00,1,1,2019-04-07 17:00,0.0,99.99998999999902,2019-04-08 17:00,1.0,94.42830364087163
