,MEA_DDHR,PLANT,LOC,X24H_TMA,X24H_COND_LOC,X24H_COND_LOC_PROB,X48H_TMA,X48H_COND_LOC,X48H_COND_LOC_PROB
0,2019-04-01 0:00,2,3,2019-04-02 0:00,0.0,99.58049654960632,2019-04-03 0:00,0.0,99.57000613212585
1,2019-04-01 4:30,1,2,2019-04-02 4:30,0.0,98.92200231552124,2019-04-03 4:30,0.0,97.40702509880066
2,2019-04-01 10:30,2,3,2019-04-02 10:30,0.0,99.58049654960632,2019-04-03 10:30,0.0,99.57000613212585
3,2019-04-01 11:00,1,1,2019-04-02 11:00,0.0,99.50460195541382,2019-04-03 11:00,0.0,99.49076175689697
4,2019-04-01 13:30,2,1,2019-04-02 13:30,0.0,98.31168055534363,2019-04-03 13:30,0.0,98.73989820480347
5,2019-04-01 17:00,2,2,2019-04-02 17:00,0.0,99.07177090644836,2019-04-03 17:00,0.0,99.0308940410614
6,2019-04-01 18:30,2,3,2019-04-02 18:30,0.0,99.3802547454834,2019-04-03 18:30,0.0,99.45830702781677
7,2019-04-01 20:30,2,1,2019-04-02 20:30,0.0,97.43592143058777,2019-04-03 20:30,0.0,98.80109429359436
8,2019-04-02 6:00,1,2,2019-04-03 6:00,0.0,98.92200231552124,2019-04-04 6:00,0.0,97.65783548355103
9,2019-04-02 7:00,1,1,2019-04-03 7:00,0.0,99.50460195541382,2019-04-04 7:00,0.0,99.35839176177979
10,2019-04-02 9:30,1,1,2019-04-03 9:30,0.0,99.4361937046051,2019-04-04 9:30,0.0,99.55335855484009
11,2019-04-02 12:30,1,2,2019-04-03 12:30,0.0,98.57519268989563,2019-04-04 12:30,0.0,99.1856038570404
12,2019-04-02 15:00,1,1,2019-04-03 15:00,0.0,99.50460195541382,2019-04-04 15:00,0.0,99.49076175689697
13,2019-04-02 16:00,2,2,2019-04-03 16:00,0.0,99.07177090644836,2019-04-04 16:00,0.0,99.0308940410614
14,2019-04-02 16:30,1,1,2019-04-03 16:30,0.0,99.50460195541382,2019-04-04 16:30,0.0,99.49076175689697
15,2019-04-02 17:00,2,2,2019-04-03 17:00,0.0,99.07177090644836,2019-04-04 17:00,0.0,99.0308940410614
16,2019-04-02 19:30,1,1,2019-04-03 19:30,0.0,99.50460195541382,2019-04-04 19:30,0.0,99.49076175689697
17,2019-04-03 0:30,1,2,2019-04-04 0:30,0.0,98.92200231552124,2019-04-05 0:30,0.0,97.65783548355103
18,2019-04-03 1:00,1,1,2019-04-04 1:00,0.0,99.50460195541382,2019-04-05 1:00,0.0,99.49076175689697
19,2019-04-03 3:00,2,3,2019-04-04 3:00,0.0,99.58049654960632,2019-04-05 3:00,0.0,99.57000613212585
20,2019-04-03 4:30,1,1,2019-04-04 4:30,0.0,99.50460195541382,2019-04-05 4:30,0.0,99.37342405319214
21,2019-04-03 7:00,2,1,2019-04-04 7:00,0.0,98.540198802948,2019-04-05 7:00,0.0,98.47631454467773
22,2019-04-03 8:30,2,1,2019-04-04 8:30,0.0,98.90641570091248,2019-04-05 8:30,0.0,98.3988106250763
23,2019-04-03 9:00,1,1,2019-04-04 9:00,0.0,99.50460195541382,2019-04-05 9:00,0.0,99.37342405319214
24,2019-04-03 10:00,2,1,2019-04-04 10:00,0.0,98.90641570091248,2019-04-05 10:00,0.0,98.3988106250763
25,2019-04-03 11:00,2,2,2019-04-04 11:00,0.0,99.07177090644836,2019-04-05 11:00,0.0,98.94528388977051
26,2019-04-03 11:30,1,2,2019-04-04 11:30,0.0,98.92200231552124,2019-04-05 11:30,0.0,98.68298172950745
